artist,genre,city,country,venue_type,capacity,month,event_day,days_until_event,marketing_budget,ticket_price,artist_popularity,previous_attendance_rate,pre_sale_interest,artist_market_score,is_weekend,marketing_per_capacity,price_per_capacity,popularity_marketing,occupancy_pct,tickets_sold,demand_class
Kendrick Lamar,rap,Seul,Desconocido,club,1880,12,Monday,141,35000,2180,95,0.7,1026,0.8,0,18.61702128,1.159574468,3325000,0.5,940,baja
Peso Pluma,regional_mexicano,CDMX,Mexico,festival,23539,6,Sunday,92,673270,2427,93,0.58,10086,1,0,28.60231955,0.103105485,62614110,0.63,14830,media
Banda MS,banda,Los Angeles,Estados Unidos,arena,21289,7,Tuesday,97,253265,2324,89,0.7,9247,0.95,0,11.89651933,0.109164357,22540585,0.6,12773,media
The Weeknd,pop,Leon,Mexico,club,1346,1,Monday,126,27496,4206,96,0.9,606,0.78,0,20.42793462,3.124814264,2639616,0.57,767,media
Natanael Cano,corridos,Leon,Mexico,festival,23004,10,Wednesday,121,358622,1680,87,0.7,10008,0.78,0,15.58954964,0.073030777,31200114,0.43,9892,baja
Clairo,indie,Madrid,España,arena,12190,5,Friday,122,329043,3694,80,0.7,5867,0.9,1,26.992863,0.303035275,26323440,0.45,5486,baja
Adele,pop,Seul,Desconocido,festival,61336,6,Thursday,15,1156253,2195,95,0.7,21454,0.8,0,18.85113147,0.035786488,109844035,0.79,48455,alta
Kendrick Lamar,rap,Monterrey,Mexico,club,1719,12,Saturday,139,18491,3588,95,0.7,926,0.92,1,10.75683537,2.087260035,1756645,0.4,688,baja
Post Malone,rap,Bogota,Colombia,stadium,74004,11,Friday,153,1398351,3177,92,0.7,31535,0.88,1,18.89561375,0.042930112,128648292,0.83,61423,alta
BTS,kpop,CDMX,Mexico,stadium,69261,3,Tuesday,52,1574743,4730,99,0.95,61253,1,0,22.73635957,0.068292401,155899557,0.91,63028,alta
Grupo Firme,banda,Seul,Desconocido,stadium,46729,12,Tuesday,169,1044576,2479,90,0.78,19117,0.8,0,22.35391299,0.053050568,94011840,0.82,38318,alta
Karol G,reggaeton,Madrid,España,club,2857,12,Monday,121,84036,3186,94,0.7,1626,0.9,0,29.4140707,1.115155758,7899384,0.46,1314,baja
Fuerza Regida,regional_mexicano,Madrid,España,theater,6077,2,Wednesday,157,174265,25251,88,0.7,2776,0.9,0,28.676156,4.155175251,15335320,0.37,2248,baja
aespa,kpop,Leon,Mexico,theater,6033,12,Wednesday,53,101524,1826,90,0.7,3177,0.78,0,16.82811205,0.302668656,9137160,0.53,3197,baja
Ariana Grande,pop,Los Angeles,Estados Unidos,stadium,30936,1,Friday,164,462879,2447,95,0.88,17491,0.95,1,14.96247091,0.079098785,43973505,0.81,25058,alta
Travis Scott,rap,Leon,Mexico,arena,18312,12,Tuesday,96,476792,3535,93,0.7,7471,0.78,0,26.03713412,0.193042813,44341656,0.64,11720,media
Dua Lipa,pop,Los Angeles,Estados Unidos,festival,66162,4,Thursday,86,1851102,2244,93,0.7,28686,0.95,0,27.97832593,0.03391675,172152486,0.81,53591,alta
NewJeans,kpop,Bogota,Colombia,stadium,75354,7,Monday,34,1379048,1485,93,0.7,46023,0.88,0,18.30092629,0.019706983,128251464,0.96,72340,alta
BTS,kpop,Madrid,España,club,902,5,Tuesday,37,21756,3484,99,0.95,798,0.9,0,24.11973392,3.862527716,2153844,0.95,857,alta
Los Tigres del Norte,norteno,Guadalajara,Mexico,festival,35230,1,Sunday,162,615912,2317,92,0.74,16904,0.92,0,17.48260006,0.065767812,56663904,0.62,21843,media
Imagine Dragons,rock,Queretaro,Mexico,stadium,50559,6,Wednesday,73,1370922,2567,94,0.7,25834,0.82,0,27.11529105,0.050772365,128866668,0.91,46009,alta
Calvin Harris,electronica,Queretaro,Mexico,arena,11751,8,Thursday,173,168919,1938,94,0.7,6453,0.82,0,14.37486171,0.164922134,15878386,0.5,5876,baja
Adele,pop,Monterrey,Mexico,festival,80941,8,Friday,150,1030427,2343,95,0.7,44560,0.92,1,12.73059389,0.028947011,97890565,0.89,72037,alta
Post Malone,rap,Los Angeles,Estados Unidos,festival,72921,10,Monday,17,1729297,3393,92,0.7,39632,0.95,0,23.71466381,0.046529806,159095324,0.89,64900,alta
Karol G,reggaeton,Monterrey,Mexico,theater,5340,7,Thursday,84,108132,1807,94,0.7,2453,0.92,0,20.2494382,0.338389513,10164408,0.32,1709,baja
Natanael Cano,corridos,CDMX,Mexico,arena,16024,12,Tuesday,152,396425,1873,87,0.7,6752,1,0,24.73945332,0.116887169,34488975,0.28,4487,baja
Siddhartha,indie,Bogota,Colombia,festival,34765,5,Monday,167,525044,2111,85,0.7,19181,0.88,0,15.10266072,0.060721991,44628740,0.76,26421,media
Girl Ultra,indie,CDMX,Mexico,festival,80483,12,Sunday,47,1895773,2023,78,0.7,46369,1,0,23.55494949,0.025135743,147870294,0.95,76459,alta
Taylor Swift,pop,Monterrey,Mexico,arena,12942,9,Monday,151,161702,4466,98,0.7,7636,0.92,0,12.49435945,0.34507804,15846796,0.7,9059,media
Clairo,indie,Bogota,Colombia,stadium,39267,9,Monday,89,585670,1633,80,0.7,15530,0.88,0,14.91506863,0.041587083,46853600,0.35,13743,baja
Coldplay,rock,Los Angeles,Estados Unidos,stadium,77611,6,Friday,132,1577322,2505,96,0.7,39991,0.95,1,20.32343353,0.032276353,151422912,0.85,65969,alta
Dua Lipa,pop,Los Angeles,Estados Unidos,arena,23823,7,Tuesday,109,442307,2665,93,0.7,14390,0.95,0,18.56638543,0.111866683,41134551,0.72,17153,media
Kendrick Lamar,rap,Seul,Desconocido,festival,80778,11,Saturday,70,2249012,4332,95,0.7,45282,0.8,1,27.84188764,0.053628463,213656140,0.95,76739,alta
Martin Garrix,electronica,Los Angeles,Estados Unidos,club,1959,4,Friday,17,42482,21458,92,0.7,1257,0.95,1,21.68555385,10.95354773,3908344,0.52,1019,baja
Bad Bunny,reggaeton,Seul,Desconocido,club,676,10,Monday,34,18919,4413,95,0.7,360,0.8,0,27.98668639,6.528106509,1797305,0.48,324,baja
Coldplay,rock,Guadalajara,Mexico,festival,65581,6,Thursday,51,1744306,2098,96,0.7,38068,0.92,0,26.5977341,0.031990973,167453376,0.91,59679,alta
Post Malone,rap,Monterrey,Mexico,arena,15833,11,Friday,57,221181,4067,92,0.7,6453,0.92,1,13.96962041,0.256868566,20348652,0.58,9183,media
Dua Lipa,pop,Queretaro,Mexico,theater,6893,1,Saturday,106,142562,4367,93,0.7,2659,0.82,1,20.6821413,0.633541274,13258266,0.3,2068,baja
Post Malone,rap,Bogota,Colombia,club,592,11,Thursday,147,9090,2977,92,0.7,354,0.88,0,15.35472973,5.028716216,836280,0.52,308,baja
Imagine Dragons,rock,Madrid,España,arena,20570,12,Saturday,94,453165,4511,94,0.7,11242,0.9,1,22.03038405,0.219299951,42597510,0.69,14193,media
Los Tigres del Norte,norteno,Leon,Mexico,theater,4627,2,Friday,3,56246,2797,92,0.74,1607,0.78,1,12.15604063,0.604495353,5174632,0.25,1157,baja
The Weeknd,pop,Guadalajara,Mexico,arena,23949,2,Wednesday,113,704132,4039,96,0.9,13243,0.92,0,29.40131112,0.168650048,67596672,0.81,19399,alta
Adele,pop,Los Angeles,Estados Unidos,theater,8050,5,Wednesday,31,84675,3521,95,0.7,4824,0.95,0,10.51863354,0.437391304,8044125,0.71,5716,media
Kendrick Lamar,rap,Madrid,España,club,2843,10,Sunday,146,56658,2875,95,0.7,1110,0.9,0,19.92894829,1.011255716,5382510,0.25,711,baja
BTS,kpop,Seul,Desconocido,festival,77692,2,Friday,167,1393374,3825,99,0.95,42226,0.8,1,17.93458786,0.049232868,137944026,0.82,63707,alta
Girl Ultra,indie,Monterrey,Mexico,club,2102,8,Thursday,87,45071,2637,78,0.7,947,0.92,0,21.44196004,1.254519505,3515538,0.41,862,baja
David Guetta,electronica,Queretaro,Mexico,stadium,50489,2,Saturday,76,506339,4408,93,0.82,30352,0.82,1,10.02869932,0.087306146,47089527,0.91,45945,alta
Peso Pluma,regional_mexicano,Queretaro,Mexico,arena,11586,10,Thursday,6,239822,3641,93,0.58,4834,0.82,0,20.69929225,0.314258588,22303446,0.45,5214,baja
Girl Ultra,indie,CDMX,Mexico,stadium,45105,12,Wednesday,17,1250206,2375,78,0.7,18493,1,0,27.71768097,0.052654916,97516068,0.61,27514,media
Martin Garrix,electronica,Los Angeles,Estados Unidos,club,912,9,Thursday,70,15122,3918,92,0.7,541,0.95,0,16.58114035,4.296052632,1391224,0.46,420,baja
The Weeknd,pop,Monterrey,Mexico,festival,87410,3,Sunday,134,2162829,38801,96,0.9,52580,0.92,0,24.74349617,0.443896579,207631584,0.83,72550,alta
Adele,pop,Bogota,Colombia,arena,24727,12,Wednesday,32,396186,1572,95,0.7,11525,0.88,0,16.02240466,0.063574231,37637670,0.63,15578,media
Fuerza Regida,regional_mexicano,Monterrey,Mexico,theater,8299,4,Saturday,123,188889,2647,88,0.7,4637,0.92,1,22.76045307,0.318954091,16622232,0.47,3901,baja
Banda MS,banda,Guadalajara,Mexico,club,1922,5,Wednesday,28,33400,1600,89,0.7,1038,0.92,0,17.37773153,0.832466181,2972600,0.44,846,baja
Calvin Harris,electronica,Los Angeles,Estados Unidos,festival,27602,11,Saturday,104,523387,3595,94,0.7,17809,0.95,1,18.96192305,0.130244185,49198378,0.75,20702,media
BTS,kpop,CDMX,Mexico,theater,9982,2,Thursday,126,285119,3532,99,0.95,8880,1,0,28.56331397,0.353836906,28226781,0.91,9084,alta
The Weeknd,pop,Bogota,Colombia,club,1940,5,Tuesday,150,24159,2623,96,0.9,1336,0.88,0,12.45309278,1.352061856,2319264,0.69,1339,media
Los Tigres del Norte,norteno,Guadalajara,Mexico,stadium,69522,1,Sunday,104,1382536,3764,92,0.74,30139,0.92,0,19.88630937,0.054141135,127193312,0.81,56313,alta
Bad Bunny,reggaeton,Madrid,España,club,2954,4,Thursday,68,77913,3339,95,0.7,1442,0.9,0,26.37542316,1.130331754,7401735,0.36,1063,baja
Cuco,indie,Monterrey,Mexico,festival,79065,1,Friday,49,2225572,2693,82,0.7,32122,0.92,1,28.1486372,0.034060583,182496904,0.84,66415,alta
Stray Kids,kpop,CDMX,Mexico,theater,6068,3,Wednesday,58,171038,22312,91,0.7,2937,1,0,28.186882,3.676994067,15564458,0.61,3701,media
Natanael Cano,corridos,Guadalajara,Mexico,arena,12887,5,Monday,102,143210,3454,87,0.7,7855,0.92,0,11.11274928,0.268022038,12459270,0.54,6959,baja
Peso Pluma,regional_mexicano,Seul,Desconocido,theater,9118,3,Thursday,151,256406,1592,93,0.58,3253,0.8,0,28.12085984,0.174599693,23845758,0.37,3374,baja
Siddhartha,indie,Seul,Desconocido,arena,15583,9,Wednesday,150,406843,3670,85,0.7,7799,0.8,0,26.10813066,0.235513059,34581655,0.52,8103,baja
Siddhartha,indie,Bogota,Colombia,arena,22871,9,Wednesday,22,644276,3325,85,0.7,11185,0.88,0,28.16999694,0.145380613,54763460,0.7,16010,media
David Guetta,electronica,Seul,Desconocido,festival,32924,7,Thursday,142,499758,2726,93,0.82,20240,0.8,0,15.17913984,0.082796744,46477494,0.73,24035,media
Grupo Firme,banda,Monterrey,Mexico,stadium,50959,6,Tuesday,25,1234348,2412,90,0.78,28836,0.92,0,24.22237485,0.047332169,111091320,0.88,44844,alta
Martin Garrix,electronica,Monterrey,Mexico,stadium,64112,1,Monday,17,715094,38811,92,0.7,34551,0.92,0,11.15382456,0.605362491,65788648,0.89,57060,alta
Cuco,indie,CDMX,Mexico,club,2948,6,Wednesday,83,57736,3131,82,0.7,1475,1,0,19.58480326,1.062075984,4734352,0.4,1179,baja
Fuerza Regida,regional_mexicano,Guadalajara,Mexico,club,2747,3,Saturday,111,54896,4268,88,0.7,1149,0.92,1,19.98398253,1.55369494,4830848,0.31,852,baja
Karol G,reggaeton,Guadalajara,Mexico,club,1435,9,Thursday,77,18780,1424,94,0.7,847,0.92,0,13.08710801,0.992334495,1765320,0.47,674,baja
Los Tigres del Norte,norteno,Seul,Desconocido,festival,51997,5,Sunday,151,1067327,1447,92,0.74,21986,0.8,0,20.52670346,0.027828529,98194084,0.62,32238,media
Kendrick Lamar,rap,Leon,Mexico,club,2807,10,Thursday,112,47130,23077,95,0.7,962,0.78,0,16.79016744,8.221232633,4477350,0.26,730,baja
David Guetta,electronica,Guadalajara,Mexico,festival,46035,8,Tuesday,62,1111940,2063,93,0.82,30375,0.92,0,24.15423048,0.044813729,103410420,0.91,41892,alta
Girl Ultra,indie,Guadalajara,Mexico,theater,7761,3,Wednesday,80,206231,3386,78,0.7,2845,0.92,0,26.57273547,0.436283984,16086018,0.3,2328,baja
Ed Sheeran,pop,Seul,Desconocido,arena,23786,4,Saturday,118,277250,2813,94,0.7,13438,0.8,1,11.65601614,0.118262844,26061500,0.77,18315,media
Ariana Grande,pop,Seul,Desconocido,festival,40270,4,Monday,86,696282,4244,95,0.88,29067,0.8,0,17.2903402,0.105388627,66146790,0.96,38659,alta
Bad Bunny,reggaeton,Madrid,España,theater,7961,5,Monday,14,107152,4419,95,0.7,5059,0.9,0,13.45961563,0.55508102,10179440,0.76,6050,media
Clairo,indie,Bogota,Colombia,stadium,56561,2,Friday,124,1221334,23279,80,0.7,22761,0.88,1,21.59321794,0.411573346,97706720,0.64,36199,media
Ariana Grande,pop,Queretaro,Mexico,theater,8992,7,Monday,79,263041,3100,95,0.88,4050,0.82,0,29.25278025,0.34475089,24988895,0.56,5036,media
Imagine Dragons,rock,Los Angeles,Estados Unidos,theater,9114,10,Monday,75,246377,3337,94,0.7,6083,0.95,0,27.03280667,0.366140004,23159438,0.76,6927,media
Kendrick Lamar,rap,Guadalajara,Mexico,club,2887,2,Friday,47,44919,3046,95,0.7,1488,0.92,1,15.55905785,1.055074472,4267305,0.38,1097,baja
Ed Sheeran,pop,Queretaro,Mexico,arena,12794,8,Wednesday,156,287760,2802,94,0.7,7490,0.82,0,22.49179303,0.21900891,27049440,0.54,6909,baja
Taylor Swift,pop,Bogota,Colombia,stadium,56005,9,Tuesday,139,826928,3095,98,0.7,36637,0.88,0,14.7652531,0.055262923,81038944,0.96,53765,alta
BTS,kpop,Los Angeles,Estados Unidos,arena,11199,4,Monday,150,331924,4416,99,0.95,10345,0.95,0,29.63871774,0.394320922,32860476,0.94,10527,alta
Adele,pop,Guadalajara,Mexico,theater,5910,3,Sunday,32,121270,2573,95,0.7,2829,0.92,0,20.51945854,0.43536379,11520650,0.34,2009,baja
Drake,rap,Monterrey,Mexico,festival,59777,7,Saturday,88,1566370,3119,94,0.86,36602,0.92,1,26.20355655,0.052177259,147238780,0.86,51408,alta
Peso Pluma,regional_mexicano,Seul,Desconocido,theater,4699,6,Thursday,109,133586,3404,93,0.58,2095,0.8,0,28.42860183,0.724409449,12423498,0.51,2396,baja
Grupo Firme,banda,Los Angeles,Estados Unidos,arena,14457,3,Monday,47,375096,2347,90,0.78,7642,0.95,0,25.94563187,0.162343501,33758640,0.63,9108,media
Fuerza Regida,regional_mexicano,Leon,Mexico,arena,17095,9,Friday,67,199526,1935,88,0.7,5965,0.78,1,11.67159988,0.113190992,17558288,0.3,5128,baja
aespa,kpop,Monterrey,Mexico,festival,48661,4,Sunday,12,1005483,31118,90,0.7,25399,0.92,0,20.66301556,0.63948542,90493470,0.68,33089,media
Dua Lipa,pop,Guadalajara,Mexico,club,1402,8,Friday,163,26341,2736,93,0.7,900,0.92,1,18.78815977,1.95149786,2449713,0.77,1080,media
Bad Bunny,reggaeton,Los Angeles,Estados Unidos,stadium,60596,11,Tuesday,56,882250,29412,95,0.7,36873,0.95,0,14.55954188,0.485378573,83813750,0.92,55748,alta
The Weeknd,pop,Monterrey,Mexico,theater,4581,1,Thursday,5,46035,3874,96,0.9,3301,0.92,0,10.04911591,0.845666885,4419360,0.89,4077,alta
Banda MS,banda,Queretaro,Mexico,theater,8997,3,Friday,98,242731,3707,89,0.7,3189,0.82,1,26.97910415,0.412026231,21603059,0.28,2519,baja
Stray Kids,kpop,Seul,Desconocido,theater,7337,7,Friday,159,96749,4100,91,0.7,3465,0.8,1,13.18645223,0.558811503,8804159,0.43,3155,baja
Cuco,indie,Bogota,Colombia,club,2992,5,Monday,177,77918,1361,82,0.7,1656,0.88,0,26.0421123,0.454879679,6389276,0.55,1646,baja
Calvin Harris,electronica,Guadalajara,Mexico,theater,9218,12,Sunday,49,94745,28086,94,0.7,3979,0.92,0,10.27825993,3.04686483,8906030,0.29,2673,baja
Post Malone,rap,Los Angeles,Estados Unidos,club,1916,9,Tuesday,72,33187,4021,92,0.7,1035,0.95,0,17.32098121,2.098643006,3053204,0.41,786,baja
Adele,pop,Queretaro,Mexico,club,627,4,Sunday,50,13486,4165,95,0.7,357,0.82,0,21.50877193,6.642743222,1281170,0.51,320,baja
Taylor Swift,pop,Queretaro,Mexico,festival,78814,7,Thursday,44,911969,3257,98,0.7,43596,0.82,0,11.57115487,0.041325145,89372962,0.92,72509,alta
David Guetta,electronica,Los Angeles,Estados Unidos,stadium,52508,6,Thursday,118,778973,2797,93,0.82,36658,0.95,0,14.83532033,0.053268073,72444489,0.92,48307,alta
Coldplay,rock,Los Angeles,Estados Unidos,arena,11361,3,Friday,37,130273,35191,96,0.7,7007,0.95,1,11.46668427,3.097526626,12506208,0.46,5226,baja
Imagine Dragons,rock,Leon,Mexico,club,1633,1,Saturday,63,41106,2945,94,0.7,680,0.78,1,25.17207593,1.803429271,3863964,0.36,588,baja
Bad Bunny,reggaeton,CDMX,Mexico,club,2237,7,Tuesday,146,61776,3779,95,0.7,1163,1,0,27.61555655,1.689316048,5868720,0.62,1387,media
Siddhartha,indie,Queretaro,Mexico,club,952,10,Friday,173,11726,3132,85,0.7,471,0.82,1,12.31722689,3.289915966,996710,0.49,466,baja
Girl Ultra,indie,CDMX,Mexico,club,734,10,Monday,99,19449,1803,78,0.7,407,1,0,26.4972752,2.45640327,1517022,0.49,360,baja
Banda MS,banda,CDMX,Mexico,festival,71028,7,Monday,136,988673,39463,89,0.7,46029,1,0,13.91948246,0.555597792,87991897,0.95,67477,alta
BLACKPINK,kpop,Bogota,Colombia,club,724,11,Monday,118,10620,3743,98,0.7,464,0.88,0,14.66850829,5.169889503,1040760,0.52,376,baja
Drake,rap,Leon,Mexico,stadium,77252,12,Friday,48,1204672,2981,94,0.86,42871,0.78,1,15.59405582,0.038587998,113239168,0.88,67982,alta
The Weeknd,pop,Seul,Desconocido,festival,72928,8,Thursday,85,1879161,1720,96,0.9,44141,0.8,0,25.76734588,0.023584906,180399456,0.88,64177,alta
Calvin Harris,electronica,Seul,Desconocido,stadium,40211,7,Saturday,78,1119963,3356,94,0.7,21363,0.8,1,27.85215488,0.08345975,105276522,0.93,37396,alta
Los Tigres del Norte,norteno,Bogota,Colombia,club,1321,11,Tuesday,113,25550,1475,92,0.74,746,0.88,0,19.34140802,1.11657835,2350600,0.44,581,baja
David Guetta,electronica,Los Angeles,Estados Unidos,arena,13659,5,Sunday,153,238159,2406,93,0.82,9558,0.95,0,17.43604949,0.176147595,22148787,0.71,9698,media
aespa,kpop,Los Angeles,Estados Unidos,festival,25087,10,Wednesday,165,668790,2777,90,0.7,15136,0.95,0,26.65882728,0.110694782,60191100,0.74,18564,media
Fuerza Regida,regional_mexicano,Guadalajara,Mexico,festival,89251,8,Friday,13,1887336,3297,88,0.7,53135,0.92,1,21.14638491,0.036940763,166085568,0.95,84788,alta
BTS,kpop,CDMX,Mexico,stadium,70766,7,Thursday,125,1050209,4438,99,0.95,53384,1,0,14.84058729,0.062713733,103970691,0.85,60151,alta
TWICE,kpop,Seul,Desconocido,club,2722,7,Wednesday,70,29510,3562,92,0.84,1378,0.8,0,10.84129317,1.30859662,2714920,0.64,1742,media
Ed Sheeran,pop,CDMX,Mexico,theater,7849,2,Monday,144,224447,1854,94,0.7,3575,1,0,28.59561728,0.236208434,21098018,0.28,2198,baja
David Guetta,electronica,Seul,Desconocido,theater,8427,6,Wednesday,155,203551,31053,93,0.82,4680,0.8,0,24.15462205,3.68494126,18930243,0.69,5815,media
The Weeknd,pop,Los Angeles,Estados Unidos,theater,6026,11,Saturday,96,123977,4472,96,0.9,3295,0.95,1,20.57368072,0.742117491,11901792,0.57,3435,media
BTS,kpop,Los Angeles,Estados Unidos,club,2442,7,Friday,65,36050,4153,99,0.95,1875,0.95,1,14.76248976,1.700655201,3568950,0.87,2125,alta
NewJeans,kpop,CDMX,Mexico,festival,68789,7,Tuesday,79,1011281,4564,93,0.7,40043,1,0,14.70120223,0.066347817,94049133,0.89,61222,alta
Ariana Grande,pop,CDMX,Mexico,festival,51774,4,Monday,5,785854,4388,95,0.88,33715,1,0,15.17854522,0.084752965,74656130,0.84,43490,alta
Banda MS,banda,Seul,Desconocido,theater,6135,7,Saturday,80,157506,2070,89,0.7,2800,0.8,1,25.67334963,0.337408313,14018034,0.43,2638,baja
Peso Pluma,regional_mexicano,Bogota,Colombia,club,2510,3,Tuesday,24,35035,2432,93,0.58,791,0.88,0,13.95816733,0.968924303,3258255,0.26,653,baja
TWICE,kpop,CDMX,Mexico,theater,3495,1,Saturday,71,52972,3726,92,0.84,1801,1,1,15.1565093,1.066094421,4873424,0.57,1992,media
Kendrick Lamar,rap,Los Angeles,Estados Unidos,festival,20546,12,Thursday,50,568957,1632,95,0.7,13242,0.95,0,27.69186216,0.07943152,54050915,0.74,15204,media
Banda MS,banda,CDMX,Mexico,club,2838,12,Monday,136,41120,3869,89,0.7,1436,1,0,14.48907681,1.363284003,3659680,0.36,1022,baja
Peso Pluma,regional_mexicano,Queretaro,Mexico,arena,13126,12,Thursday,39,320086,2837,93,0.58,4106,0.82,0,24.38564681,0.216135913,29767998,0.29,3807,baja
Banda MS,banda,Leon,Mexico,stadium,42487,2,Friday,33,873849,3381,89,0.7,18272,0.78,1,20.56744416,0.079577282,77772561,0.67,28466,media
Martin Garrix,electronica,Bogota,Colombia,theater,8048,10,Thursday,165,113135,2882,92,0.7,4545,0.88,0,14.05752982,0.358101392,10408420,0.48,3863,baja
Fuerza Regida,regional_mexicano,Monterrey,Mexico,arena,11160,12,Saturday,178,179546,2088,88,0.7,4725,0.92,1,16.08835125,0.187096774,15800048,0.31,3460,baja
Clairo,indie,Los Angeles,Estados Unidos,arena,21455,8,Monday,62,404382,1296,80,0.7,10619,0.95,0,18.84791424,0.0604055,32350560,0.44,9440,baja
BLACKPINK,kpop,Leon,Mexico,arena,15461,6,Monday,31,375825,26367,98,0.7,5695,0.78,0,24.3079361,1.70538775,36830850,0.58,8967,media
Arctic Monkeys,rock,Los Angeles,Estados Unidos,club,2693,2,Wednesday,133,33105,4522,92,0.7,1109,0.95,0,12.2929818,1.679168214,3045660,0.27,727,baja
aespa,kpop,Queretaro,Mexico,club,2755,10,Thursday,78,56496,2775,90,0.7,1265,0.82,0,20.50671506,1.007259528,5084640,0.41,1130,baja
Stray Kids,kpop,Madrid,España,festival,76603,3,Tuesday,83,1696947,3797,91,0.7,39230,0.9,0,22.1524875,0.049567249,154422177,0.89,68177,alta
Natanael Cano,corridos,Leon,Mexico,festival,60386,8,Saturday,84,1172602,2063,87,0.7,26873,0.78,1,19.41844136,0.034163548,102016374,0.7,42270,media
Bad Bunny,reggaeton,Leon,Mexico,stadium,62910,2,Friday,122,1471562,1725,95,0.7,31872,0.78,1,23.39154347,0.027420124,139798390,0.92,57877,alta
Adele,pop,Queretaro,Mexico,club,1008,6,Sunday,29,30215,23322,95,0.7,599,0.82,0,29.97519841,23.13690476,2870425,0.54,544,baja
Siddhartha,indie,Bogota,Colombia,festival,26604,2,Saturday,130,335613,3894,85,0.7,12291,0.88,1,12.61513306,0.146368967,28527105,0.67,17825,media
Stray Kids,kpop,Guadalajara,Mexico,stadium,43410,3,Sunday,125,875755,3029,91,0.7,20233,0.92,0,20.17403824,0.069776549,79693705,0.63,27348,media
Coldplay,rock,CDMX,Mexico,festival,48483,3,Monday,52,739465,3145,96,0.7,32836,1,0,15.25204711,0.064868098,70988640,0.93,45089,alta
Cuco,indie,Los Angeles,Estados Unidos,festival,48707,10,Sunday,4,669316,2671,82,0.7,20501,0.95,0,13.74167984,0.054838114,54883912,0.62,30198,media
David Guetta,electronica,Guadalajara,Mexico,arena,10953,3,Tuesday,101,246103,3991,93,0.82,6513,0.92,0,22.46900393,0.364375057,22887579,0.66,7229,media
Banda MS,banda,Monterrey,Mexico,theater,5631,9,Sunday,37,121085,2821,89,0.7,2212,0.92,0,21.50328538,0.500976736,10776565,0.27,1520,baja
Taylor Swift,pop,Leon,Mexico,theater,6742,6,Wednesday,13,162174,2971,98,0.7,2386,0.78,0,24.05428656,0.440670424,15893052,0.57,3843,media
Cuco,indie,Queretaro,Mexico,festival,40838,2,Saturday,20,619352,39856,82,0.7,20821,0.82,1,15.16607082,0.975953769,50786864,0.54,22053,baja
Girl Ultra,indie,Queretaro,Mexico,theater,7556,8,Monday,170,188341,2162,78,0.7,3472,0.82,0,24.92601906,0.286130228,14690598,0.5,3778,baja
Arctic Monkeys,rock,Seul,Desconocido,theater,4489,7,Thursday,122,98897,3283,92,0.7,2228,0.8,0,22.03096458,0.731343284,9098524,0.46,2065,baja
Kendrick Lamar,rap,Madrid,España,festival,41222,12,Sunday,55,1116539,1957,95,0.7,20577,0.9,0,27.08599777,0.047474649,106071205,0.86,35451,alta
Clairo,indie,Bogota,Colombia,club,2478,2,Sunday,170,37248,1878,80,0.7,889,0.88,0,15.031477,0.757869249,2979840,0.3,743,baja
BTS,kpop,Leon,Mexico,arena,15470,5,Sunday,53,462844,4517,99,0.95,8176,0.78,0,29.9188106,0.291984486,45821556,0.82,12685,alta
Arctic Monkeys,rock,Guadalajara,Mexico,theater,6290,9,Thursday,153,105179,4411,92,0.7,2842,0.92,0,16.72162162,0.70127186,9676468,0.33,2076,baja
Bad Bunny,reggaeton,Bogota,Colombia,club,1016,8,Tuesday,39,26225,2911,95,0.7,533,0.88,0,25.81200787,2.86515748,2491375,0.41,417,baja
Siddhartha,indie,Seul,Desconocido,club,789,2,Sunday,121,12415,2327,85,0.7,365,0.8,0,15.73510773,2.949302915,1055275,0.46,363,baja
aespa,kpop,Seul,Desconocido,stadium,31003,9,Wednesday,129,760684,3322,90,0.7,14799,0.8,0,24.53581911,0.107150921,68461560,0.71,22012,media
Karol G,reggaeton,Guadalajara,Mexico,festival,79715,4,Wednesday,116,1905774,1712,94,0.7,37445,0.92,0,23.90734492,0.02147651,179142756,0.84,66961,alta
Karol G,reggaeton,Queretaro,Mexico,festival,89049,8,Tuesday,48,1741136,2875,94,0.7,51876,0.82,0,19.55256095,0.032285596,163666784,0.96,85487,alta
Clairo,indie,Seul,Desconocido,theater,5154,9,Friday,130,101529,3880,80,0.7,2268,0.8,1,19.69906868,0.752813349,8122320,0.47,2422,baja
Banda MS,banda,Queretaro,Mexico,stadium,65505,4,Thursday,103,947776,3114,89,0.7,30099,0.82,0,14.46875811,0.047538356,84352064,0.89,58299,alta
David Guetta,electronica,Monterrey,Mexico,festival,98906,6,Monday,101,2849841,2062,93,0.82,64206,0.92,0,28.81363112,0.020848078,265035213,0.9,89015,alta
Calvin Harris,electronica,Seul,Desconocido,stadium,69025,11,Wednesday,122,1906585,3722,94,0.7,30478,0.8,0,27.62165882,0.053922492,179218990,0.87,60052,alta
Imagine Dragons,rock,Guadalajara,Mexico,stadium,42672,11,Monday,58,1263852,4263,94,0.7,19670,0.92,0,29.61782902,0.099901575,118802088,0.83,35418,alta
Dua Lipa,pop,Madrid,España,stadium,39581,3,Friday,45,999036,3487,93,0.7,18789,0.9,1,25.24029206,0.088097825,92910348,0.85,33644,alta
David Guetta,electronica,Bogota,Colombia,festival,94576,5,Saturday,160,1953560,3579,93,0.82,62900,0.88,1,20.65598038,0.037842582,181681080,0.93,87956,alta
